commodity,year,Type,msprice,msp_filter,date,APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,district_name,Year,Month,trend,detrended_m,seasonal_m,residual_m,deseasonalised,raw_comparison,deseasonalised_comaprison
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Ambad(Vadi Godri),maize,822.0,872.0,1021.0,938.0,Jalna,2014.0,12.0,950.0,0.9873684210526316,1.055631113181183,0.9353347099415823,888.5679744445032,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Shevgaon-Bodhegaon,maize,159.0,960.0,1045.0,980.0,Ahmadnagar,2014.0,12.0,980.0,1.0,1.1072874493927125,0.9031078610603291,885.0457038391226,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Shrirampur,maize,1234.0,876.0,1096.0,987.0,Ahmadnagar,2014.0,12.0,1242.5,0.7943661971830986,0.9578422129066884,0.8293288669879124,1030.441117232481,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Amarawati,maize,15.0,1210.0,1320.0,1256.0,Amaravathi,2014.0,12.0,1256.0,1.0,1.0393825523135867,0.9621096657569207,1208.4097401906924,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Achalpur,maize,140.0,1310.0,1370.0,1342.0,Amaravathi,2014.0,12.0,1337.5,1.0033644859813085,1.0093933989433785,0.9940271920062276,1329.5113693083294,Above_MSP,Above_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Newasa,maize,18.0,1310.0,1310.0,1310.0,Ahmadnagar,2014.0,12.0,1310.0,1.0,1.0203089957637679,0.9800952497252411,1283.9247771400658,Above_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Rahata,maize,1316.0,955.0,1056.0,985.0,Ahmadnagar,2014.0,12.0,1116.75,0.8820237295724199,0.975531248747973,0.9041470795573555,1009.7062510956767,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Kopargaon,maize,5159.0,903.0,1097.0,1036.0,Ahmadnagar,2014.0,12.0,1070.75,0.9675461125379407,1.03082384641009,0.9386144062416502,1005.021375483247,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Rahuri-Vambori,maize,882.0,1010.0,1106.0,1057.0,Ahmadnagar,2014.0,12.0,1119.6666666666667,0.944030961595713,1.0136003290907558,0.9313641032876838,1042.81734098111,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Sangamner,maize,106.0,1330.0,1330.0,1330.0,Ahmadnagar,2014.0,12.0,1333.0,0.9977494373593399,1.013252286102424,0.9846999123952462,1312.6049832228632,Above_MSP,Above_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Rahuri,maize,64.0,1310.0,1341.0,1326.0,Ahmadnagar,2014.0,12.0,1290.5,1.0275087175513367,1.0275087175513367,1.0,1290.5,Above_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Beed,maize,90.0,1268.0,1268.0,1268.0,Beed,2014.0,12.0,1359.3333333333333,0.9328102010789603,0.9879856476519422,0.9441535950404619,1283.4194535250012,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Gevrai,maize,58.0,1208.0,1233.0,1233.0,Beed,2014.0,12.0,1191.0,1.035264483627204,1.0712095798240595,0.9664443850448394,1151.0352625884038,Below_MSP,Below_MSP
